sample_id,main_lineage,sub_lineage,is_unknown_lineage,is_compound_lineage,stratifiable_single_lineage
SRR11922476,lineage4,lineage4.8,False,False,True
SRR11922479,lineage2,lineage2.2.1.1,False,False,True
SRR11922481,lineage4,lineage4.3.4.2,False,False,True
SRR11922482,lineage2,lineage2.2.1,False,False,True
SRR11922485,lineage4,lineage4.3.2.1,False,False,True
SRR11922487,lineage4,lineage4.6.2.2,False,False,True
SRR11922490,lineage4,lineage4.3.3,False,False,True
SRR11922496,lineage2,lineage2.2.1.1,False,False,True
SRR11922497,lineage2,lineage2.2.1.1,False,False,True
SRR11922498,lineage4,lineage4.8.1,False,False,True
SRR11922501,lineage4,lineage4.6.1.2,False,False,True
SRR11922502,lineage2,lineage2.2.1,False,False,True
SRR11922503,lineage4,lineage4.3.3,False,False,True
SRR11922504,lineage4,lineage4.1.1.1,False,False,True
SRR11922514,lineage4,lineage4.4.1.1.1,False,False,True
SRR11922515,lineage4,lineage4.3.2.1,False,False,True
SRR11922516,lineage4,lineage4.6.2.2,False,False,True
SRR11922517,lineage4,lineage4.3.2.1,False,False,True
SRR11922518,lineage4,lineage4.6.2.2,False,False,True
SRR11922519,lineage4,lineage4.6.2.2,False,False,True
SRR11922520,lineage4,lineage4.6.2.2,False,False,True
SRR11922521,lineage4,lineage4.6.2.2,False,False,True
SRR11922522,lineage4,lineage4.6.2.2,False,False,True
SRR11922524,lineage2,lineage2.2.1,False,False,True
SRR11922527,lineage4,lineage4.1.1.3,False,False,True
SRR11922529,lineage2,lineage2.2.1.1,False,False,True
SRR11922534,lineage4,lineage4.3.2.1,False,False,True
SRR11922538,lineage2;lineage4,lineage2.2.1.1;lineage4,False,True,False
SRR11947318,lineage4,lineage4.1.2,False,False,True
SRR11947319,lineage4,lineage4.3.4.2.1,False,False,True
SRR11947320,lineage3,lineage3,False,False,True
SRR11947321,lineage4,lineage4.8,False,False,True
SRR11947322,lineage4,lineage4,False,False,True
SRR11947323,lineage4,lineage4.1.1.1,False,False,True
SRR11947324,lineage3,lineage3,False,False,True
SRR11947325,lineage4,lineage4.3.2.1,False,False,True
SRR11947326,lineage4,lineage4.1.2,False,False,True
