sample_id,drtype,total_variants_qc,high_variant_qc,phenotype_binary_inconsistent,has_core_mutation,phenotype_inconsistency_source,recommended_exclude_from_phenotype_ground_truth
SRR11922476,Susceptible,857,False,False,False,,False
SRR11922479,Susceptible,1989,False,False,False,,False
SRR11922481,Susceptible,1193,False,False,False,,False
SRR11922482,Susceptible,1985,False,False,False,,False
SRR11922485,Susceptible,1254,False,False,False,,False
SRR11922487,Susceptible,1265,False,False,False,,False
SRR11922490,Susceptible,1234,False,False,False,,False
SRR11922496,Susceptible,2043,False,False,False,,False
SRR11922497,Susceptible,2028,False,False,False,,False
SRR11922498,Susceptible,887,False,False,False,,False
SRR11922501,Susceptible,1047,False,False,False,,False
SRR11922502,Susceptible,1898,False,False,False,,False
SRR11922503,Susceptible,1241,False,False,False,,False
SRR11922504,Susceptible,1258,False,False,False,,False
SRR11922514,Susceptible,1265,False,False,False,,False
SRR11922515,Susceptible,1249,False,False,False,,False
SRR11922516,Susceptible,1187,False,False,False,,False
SRR11922517,Susceptible,1300,False,False,False,,False
SRR11922518,Susceptible,1201,False,False,False,,False
SRR11922519,Susceptible,1116,False,False,False,,False
SRR11922520,Susceptible,1157,False,False,False,,False
SRR11922521,Susceptible,1167,False,False,False,,False
SRR11922522,Susceptible,1232,False,False,False,,False
SRR11922524,Susceptible,2298,False,False,False,,False
SRR11922527,Susceptible,1471,False,False,False,,False
SRR11922529,Susceptible,2366,False,False,False,,False
SRR11922534,Susceptible,1300,False,False,False,,False
SRR11922538,Susceptible,1961,False,False,False,,False
SRR11947318,Susceptible,1356,False,False,False,,False
SRR11947319,Susceptible,1167,False,False,False,,False
SRR11947320,Susceptible,2314,False,False,False,,False
SRR11947321,Susceptible,1061,False,False,False,,False
SRR11947322,Susceptible,1210,False,False,False,,False
SRR11947323,Susceptible,1620,False,False,False,,False
SRR11947324,Susceptible,2327,False,False,False,,False
SRR11947325,Susceptible,1722,False,False,False,,False
SRR11947326,Susceptible,1872,False,False,False,,False
SRR11947327,Other,2221,False,True,False,uncertain_significance_evidence,True
SRR11947328,Susceptible,1117,False,False,False,,False
SRR11947329,Susceptible,1540,False,False,False,,False
SRR11947330,Susceptible,1838,False,False,False,,False
SRR11947331,Susceptible,1576,False,False,False,,False
SRR11947332,Susceptible,1791,False,False,False,,False
SRR11947333,Susceptible,1690,False,False,False,,False
SRR11947334,Susceptible,2259,False,False,False,,False
SRR11947335,Other,1113,False,False,True,,False
SRR11947336,Susceptible,2003,False,False,False,,False
SRR11947337,Susceptible,1760,False,False,False,,False
SRR11947338,Susceptible,1831,False,False,False,,False
SRR11947339,Susceptible,1011,False,False,False,,False
SRR11947340,Susceptible,1216,False,False,False,,False
SRR11947341,Susceptible,1308,False,False,False,,False
SRR11947342,Susceptible,1792,False,False,False,,False
SRR11947343,Susceptible,1663,False,False,False,,False
SRR11947344,Susceptible,1044,False,False,False,,False
SRR11947345,Susceptible,1979,False,False,False,,False
SRR11947346,Susceptible,2125,False,False,False,,False
SRR11947347,Susceptible,984,False,False,False,,False
SRR11947348,Susceptible,1104,False,False,False,,False
SRR11947349,Susceptible,1435,False,False,False,,False
SRR11947350,Susceptible,1128,False,False,False,,False
SRR11947351,Susceptible,2147,False,False,False,,False
SRR11947352,Susceptible,2000,False,False,False,,False
SRR11947353,Susceptible,1125,False,False,False,,False
SRR11947354,Susceptible,925,False,False,False,,False
SRR11947355,Susceptible,1342,False,False,False,,False
SRR11947356,Susceptible,226,False,False,False,,False
SRR11947361,Susceptible,1094,False,False,False,,False
SRR11947362,Susceptible,1145,False,False,False,,False
SRR11947371,Susceptible,1078,False,False,False,,False
SRR11947372,Susceptible,979,False,False,False,,False
SRR11947373,Susceptible,1514,False,False,False,,False
SRR11947374,Susceptible,1539,False,False,False,,False
SRR11947383,Susceptible,1165,False,False,False,,False
SRR11947390,Susceptible,1931,False,False,False,,False
SRR11947391,Susceptible,1067,False,False,False,,False
SRR11947392,Susceptible,1129,False,False,False,,False
SRR11947394,Susceptible,1093,False,False,False,,False
SRR11947398,Susceptible,2220,False,False,False,,False
SRR11947399,Susceptible,1210,False,False,False,,False
SRR11947400,Susceptible,1425,False,False,False,,False
SRR11947401,Susceptible,544,False,False,False,,False
SRR11947408,Susceptible,1185,False,False,False,,False
SRR11947419,Susceptible,1926,False,False,False,,False
SRR11947430,Susceptible,1928,False,False,False,,False
SRR11947442,Susceptible,1219,False,False,False,,False
SRR11947453,Susceptible,2849,False,False,False,,False
SRR11947458,Susceptible,1764,False,False,False,,False
SRR11947459,Susceptible,1697,False,False,False,,False
SRR11947460,Susceptible,1998,False,False,False,,False
SRR11947461,Susceptible,1415,False,False,False,,False
SRR11947462,Susceptible,2147,False,False,False,,False
SRR11947463,Susceptible,2039,False,False,False,,False
SRR11947464,Susceptible,1221,False,False,False,,False
SRR11947465,Susceptible,2055,False,False,False,,False
SRR11947466,Susceptible,1095,False,False,False,,False
SRR11947467,Susceptible,1249,False,False,False,,False
SRR11947468,Susceptible,576,False,False,False,,False
SRR11947470,Susceptible,1659,False,False,False,,False
SRR11947471,Susceptible,1529,False,False,False,,False
SRR11947473,Susceptible,1375,False,False,False,,False
SRR11947474,Susceptible,1639,False,False,False,,False
SRR11947475,Susceptible,1193,False,False,False,,False
SRR11947476,Susceptible,1451,False,False,False,,False
SRR11947477,Susceptible,2233,False,False,False,,False
SRR11947478,Susceptible,2339,False,False,False,,False
SRR11947479,Susceptible,1217,False,False,False,,False
SRR11947480,Susceptible,1428,False,False,False,,False
SRR11947481,Susceptible,1383,False,False,False,,False
SRR11947483,Susceptible,1398,False,False,False,,False
SRR11947485,Susceptible,883,False,False,False,,False
SRR11947486,Susceptible,1199,False,False,False,,False
SRR11947487,Susceptible,1803,False,False,False,,False
SRR11947490,Susceptible,1566,False,False,False,,False
SRR11947491,Susceptible,1221,False,False,False,,False
SRR11947492,Susceptible,2265,False,False,False,,False
SRR11947493,Susceptible,2247,False,False,False,,False
SRR11947496,Susceptible,1288,False,False,False,,False
SRR11947497,Susceptible,1108,False,False,False,,False
SRR11947498,Susceptible,1346,False,False,False,,False
SRR11947499,Other,1988,False,True,False,uncertain_significance_evidence,True
SRR11947500,Susceptible,870,False,False,False,,False
SRR11947502,Susceptible,1074,False,False,False,,False
SRR11947508,Other,1125,False,False,True,,False
SRR11947509,Susceptible,2158,False,False,False,,False
SRR11947510,Susceptible,1625,False,False,False,,False
SRR11947518,Susceptible,1443,False,False,False,,False
SRR11947519,Susceptible,1152,False,False,False,,False
SRR11947520,Susceptible,1960,False,False,False,,False
SRR11947521,Susceptible,1333,False,False,False,,False
SRR11947522,Susceptible,2172,False,False,False,,False
SRR11947523,Susceptible,1906,False,False,False,,False
SRR11947524,Susceptible,2075,False,False,False,,False
SRR11947525,Susceptible,821,False,False,False,,False
SRR11947526,Susceptible,1248,False,False,False,,False
SRR11947527,Susceptible,1257,False,False,False,,False
SRR11947528,Susceptible,1637,False,False,False,,False
SRR11947529,Susceptible,1293,False,False,False,,False
SRR11947530,Susceptible,1141,False,False,False,,False
SRR11947531,Susceptible,1307,False,False,False,,False
SRR11947532,Susceptible,2472,False,False,False,,False
SRR11947533,Susceptible,1184,False,False,False,,False
SRR11947534,Other,2279,False,False,True,,False
SRR11947535,Susceptible,1253,False,False,False,,False
SRR11947536,Susceptible,1823,False,False,False,,False
SRR11947537,Susceptible,1512,False,False,False,,False
SRR11947538,Susceptible,1794,False,False,False,,False
SRR11947539,Susceptible,1979,False,False,False,,False
SRR11947540,Susceptible,1769,False,False,False,,False
SRR11947541,Susceptible,983,False,False,False,,False
SRR29341506,HR-TB,1481,False,False,True,,False
SRR29341580,Susceptible,3034,False,False,False,,False
SRR30519413,Susceptible,1383,False,False,False,,False
SRR30519414,MDR-TB,1398,False,False,True,,False
SRR30519415,Susceptible,1409,False,False,False,,False
SRR30519416,Susceptible,1360,False,False,False,,False
SRR30519417,Susceptible,1179,False,False,False,,False
SRR30519418,Susceptible,1444,False,False,False,,False
SRR30519419,Susceptible,1521,False,False,False,,False
SRR30519420,Other,883,False,True,False,uncertain_significance_evidence,True
SRR30519421,Susceptible,1240,False,False,False,,False
SRR30519422,Susceptible,2012,False,False,False,,False
SRR30519423,Susceptible,2011,False,False,False,,False
SRR30519424,Susceptible,1490,False,False,False,,False
SRR30519425,Susceptible,1043,False,False,False,,False
SRR30519426,Susceptible,1887,False,False,False,,False
SRR30519427,Susceptible,1413,False,False,False,,False
SRR30519428,Susceptible,1414,False,False,False,,False
SRR30519429,Susceptible,1992,False,False,False,,False
SRR30519430,Susceptible,1510,False,False,False,,False
SRR30519431,Susceptible,1540,False,False,False,,False
SRR30519432,Susceptible,1450,False,False,False,,False
SRR30519433,Susceptible,1416,False,False,False,,False
SRR30519434,Susceptible,1324,False,False,False,,False
SRR30519435,HR-TB,1068,False,False,True,,False
SRR30519436,HR-TB,1506,False,False,True,,False
SRR30519437,Susceptible,1289,False,False,False,,False
SRR30519438,Susceptible,1354,False,False,False,,False
SRR30519439,Susceptible,2084,False,False,False,,False
SRR30519440,HR-TB,1451,False,False,True,,False
SRR30519441,HR-TB,1462,False,False,True,,False
SRR30519442,HR-TB,1437,False,False,True,,False
SRR30519443,Susceptible,1075,False,False,False,,False
SRR30519444,MDR-TB,1549,False,False,True,,False
SRR30519445,Susceptible,1952,False,False,False,,False
SRR30519446,MDR-TB,1492,False,False,True,,False
